"filename", "language", "Java", "Batch", "Markdown", "comment", "blank", "total"
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\MethodAccess.java", "Java", -26, 0, 0, 0, -3, -29
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\Options.java", "Java", -23, 0, 0, 0, -3, -26
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\Parser.java", "Java", -90, 0, 0, 0, -3, -93
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\StringParser.java", "Java", -44, 0, 0, 0, -3, -47
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\Token.java", "Java", -250, 0, 0, 0, -3, -253
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\Tokeniser.java", "Java", -230, 0, 0, 0, -4, -234
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3.5\src_out\Util.java", "Java", -49, 0, 0, 0, -3, -52
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\AccessMod.java", "Java", -9, 0, 0, 0, -3, -12
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\Alias.java", "Java", -12, 0, 0, 0, -3, -15
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\CompResult.java", "Java", -40, 0, 0, 0, -3, -43
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\Compiler.java", "Java", -560, 0, 0, 0, -9, -569
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\Extensions.java", "Java", -34, 0, 0, 0, -3, -37
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.3\src_out\JavaBB.java", "Java", -118, 0, 0, -20, -36, -174
